215,Wie höch isch de Flughafe vo Düssledorf?,Zentralschweiz
148,Wie heisst de längsti Fluss?,Zentralschweiz
320,Het de Tesla en Nobelpriis in Physik gwunne?,Zentralschweiz
312,Isch d Natalie Protmann i de USA gebore?,Zentralschweiz
296,Wer isch mitem Präsident Chirac verhüratet?,Zentralschweiz
377,Welles Buech het de Muhammed Ali gschribe?,Zentralschweiz
451,Welli profesionelle Surfer sind in Australie gebore?,Zentralschweiz
70,List alli australische Non-Profit-Organisatione uf.,Zentralschweiz
480,Liste alli Taikonauten uf.,Zentralschweiz
141,Welli Telekommunkationsunternehme sind us Belgie?,Zentralschweiz
