421,Weli Flughäfe gids ds Kaliforniä ir USA?,Bern
115,Weli Fluglinie ghöre dr SkyTeam-Allianz?,Bern
121,Weli Programmiersprachö hei Javascript beeiflusst?,Bern
348,I welem Land isch dr Mount Everest?,Bern
61,"List aui Ungernehme uf, wo meh aus 1 Million Agsteuti hei.",Bern
371,I welere Stadt läbt dr Sylvester Stallone?,Bern
305,Wär het ih dr Formel 1 di meischtä Rennä gfahre?,Bern
277,Wie viu Ihwohner hät dr Irak?,Bern
39,"List aui Schwimmer uf, di wo ds Moskau geborä sy.",Bern
288,Ih welem Land isch dr Limerick Lake?,Bern
