321,Wie vill Staate het  Mexiko?,Zentralschweiz
397,List alli schwedische Ozeanographe uf.,Zentralschweiz
456,Wer isch de Autor vo WikiLeaks?,Zentralschweiz
555,Welles isch die grössti Stadt in Amerika?,Zentralschweiz
173,"List alli Berge uf, wo grösser als de Nanga Parbat sind.",Zentralschweiz
124,Welli Software sind vo in Kalifornie gründete Organisatione entwicklet?,Zentralschweiz
154,Welli Partei regiert in Lissabon?,Zentralschweiz
161,Wer het de Agent Smith in Matrix gspillt?,Zentralschweiz
472,Dur welli Länder  füsst de Yenisei?,Zentralschweiz
294,Wer isch de Brügermeister vo Rotterdam?,Zentralschweiz
