219,Wer hät Forbes usebracht?,Zürich
220,Welle Pris hät Douglas Hofstadter gunne?,Zürich
221,Wer isch de jüngsti Dart-Spieler?,Zürich
223,Über welle Fluss füehrt dBrooklyn Bridge?,Zürich
224,Wie viel Mensche lebed in Pole?,Zürich
225,Wänn isch die letzti Folg vo Friends usgstrahlt worde?,Zürich
226,Heisst dEhefrau vom Präsident Obama Michelle?,Zürich
227,Wer isch de 9. Präsident vode Vereinigte Staate?,Zürich
227,Wer isch de 8. Präsident vode Vereinigte Staate?,Zürich
228,Wie viel Iwohner hät die Europäischi Union?,Zürich
232,Wie viel Iwohner hät Kairo?,Zürich
