498,List aui chemische Element uf.,
498,List aui chemische Element uf.,Bern
502,Weli Tochterfirma vo TUI Travel bedient Glasgow und Dublin?,Bern
509,Weli Flüss münde id Nordsee?,Bern
511,"Weli töchtere vo britische Grafe sy am gliche Ort gstorbe, wie dert wo si sy gebore?",Bern
512,Wieviu Kaiser het china gha?,Bern
514,Wo fangt Piccadilly ah?,Bern
515,"Wie heisst d Uni, wo am Obama sini Ehefrou studiert het?",Bern
516,Wen het Paraguay sini Unabhängigkeit usgsprochä?,Bern
517,"Wie chly isch dr chlynst, aktiv NBA-Spieler?",Bern
522,Wen isch d Boston Tea Party gsy?,Bern
