335,Wia isch dr Rosakriag usganga?,Graubünden
78,Tuan alli uflista wo an Halloween gebora sind,Graubünden
222,Isch Pferderenna a sport?,Graubünden
553,"Zeigmer Wanderrouta im Grand Canyon ah, wo kei Sturzfluatgfohr hen",Graubünden
197,Isch t Kubakrisa vor dr Invasion vur Schwiibucht ksi?,Graubünden
101,Welli länder hend dr Euro igfüahrt?,Graubünden
90,In wellna Seria hed dr Neil Patrick Harris mitgspielt?,Graubünden
133,List alli Länder uf wo meh als zwei offizielli Landessprocha hend,Graubünden
423,Was isch dr Geburtsnama vur Angela Merkel?,Graubünden
345,wiaviel lüt leben in Eurasia,Graubünden
