86,Wer het de Goofy erfunde?,Zentralschweiz
175,Welles sind d Fachgebiert vom UNC Health Care?,Zentralschweiz
213,Ghöred Baumstiiger zu de Amphibie?,Zentralschweiz
440,Welli Schauspieker spielled in Big Bang Theroy mit=?,Zentralschweiz
444,"Liste englischi Schauspiiler uf, wo in Lovsick mitspilled.",Zentralschweiz
236,Wer isch de Autor vom Buech Traumdüütig?,Zentralschweiz
197,Ish d Kubakriise vor de Invasion vo de Schweinebucht gsi?,Zentralschweiz
403,Wie heisst s erste Album vo Queen?,Zentralschweiz
376,Welli Regierigsfrom het Russland?,Zentralschweiz
520,I weller Stadt het d Aur China de Unternehmigssitz?,Zentralschweiz
