54,Wie heissed dHauptstädt vode Länder wo sich sHimalayagebirge befindet?,Zürich
55,Bi wie vielne Film füehrt de Park Chan-wook dRegie?,Zürich
56,Welli Flüss mündet i en dütsche See?,Zürich
62,I wellne Film unter de Regie vo Garry Marshall hät dJulia Roberts mitgspielt?,Zürich
63,Welli Fuassbällverein spieled ide Premier League?,Zürich
64,Welles isch de höchsti Ort im Ural?,Zürich
67,Welli Weltkulturerbestett sind i de vergagene beide Jahr ernannt worde?,Zürich
72,List alli ESA-Astronaute uf.,Zürich
74,Wem ghört Rolls-Royce?,Zürich
77,List alli Bundeskanzler vo Dütschland uf.,Zürich
