24,Welli US-Staate liegen i de gliiche Ziitzone wie Utah?,Zentralschweiz
25,I wellne US-Staate gits Goldvorkomme?,Zentralschweiz
26,Mit wem isch d Tochter vo de Ingrid Berman verhüratet?,Zentralschweiz
27,Wie tüüf isch de Lake Placid?,Zentralschweiz
28,Liste alli Musee in London uf.,Zentralschweiz
29,Welli Höhlene hend mel als drü Iigäng?,Zentralschweiz
34,Wenn isch d Friiheitstatue baut worde?,Zentralschweiz
35,Welli Staate grenzed a Illinois?,Zentralschweiz
36,Wer het Mincraft entwicklet?,Zentralschweiz
38,I wellne Film het de Jesse Eisenberg mitgspillt?,Zentralschweiz
