391,Zeig mir d Autobiographie vom Hemingway.,Zentralschweiz
387,Wo in Frankriich wird Sekt hergstellt?,Zentralschweiz
160,Het d Neuuflag vo Battlestar Galactica meh Epsiode als die alt Serie?,Zentralschweiz
258,Wie vill Theorie het de Albert Einstein gha?,Zentralschweiz
3,Welli Persone sind in Herakolin gebore worde?,Zentralschweiz
127,Wie vill Fluglinie ghöred zur Starr Alliance?,Zentralschweiz
121,Welle Dichter het die meiste Büecher gschribe?,Zentralschweiz
164,List alli Bandleader wo Trompete spilled auf.,Zentralschweiz
97,Lisste alli Unternehme wo in der Werbig tätig sind uf.,Zentralschweiz
5,Wer isch de Bürgermeister von New York City?,Zentralschweiz
