538,Wenn isch De Beers gründet worde?,Zürich
541,Wer isch de Autor vo s Lied vo Füür und Iis?,Zürich
542,I wellem Studio hend d Beatles ihres erste Album ufgno?,Zürich
544,Wenn isch d Prinzession Diana gstorbe?,Zürich
545,Wer het Intel gründet?,Zürich
548,Wie vill Flüss und See gits in South Carolina?,Zürich
549,Wer het mer Rodzilla gnännt?,Zürich
550,List alli Hauptstädt vo allne Länder in Afrika uf.,Zürich
551,Welli Brugge sind vom gliiche Typ wie d Manhatten Brugg.,Zürich
554,Welle Buech het am meiste Siitene?,Zürich
