308,Spielt de Christian Bale in Velvet Goldmine mit?,Zürich
310,Wie viel ethnischi Gruppe lebed in Slowenie?,Zürich
311,Wie heisst dHauptstadt vo Kamerun?,Zürich
313,Wie viel Siite hät Krieg und Friede?,Zürich
318,Isch US-Präsident Jackson imene Krieg verwicklet gsi?,Zürich
319,Wänn isch Titanic fertiggstellt worde?,Zürich
322,Welle Wüsseschaftler isch bekannt fürs Manhattan Projekt und de Nobelpris?,Zürich
325,List alli Episode vode erste Staffle vode HBO-Fersehserie The Sopranos uf.,Zürich
327,Wo isch Syngman Rhee bestattet?,Zürich
331,Wer isch de Doktorvater vom Albert Einstein gsi?,Zürich
