234,Was isch s letzte Werk vom Dan Brown?,Zentralschweiz
15,Welle Staat in de USA het die höchsti Bevölkerigsdichti?,Zentralschweiz
364,I wellere Ziitzone isch San Pedro de Atacama?,Zentralschweiz
485,List alli düütsche wiibliche Bundeskanzler uf.,Zentralschweiz
86,Wer het de Goofy erfunde?,Zentralschweiz
47,Welli Bruggene füehred über d Seine?,Zentralschweiz
369,Hett de Elvis Presley Chind gha?,Zentralschweiz
314,Wie heisst s eltiste Kind vo de Meryl Streep?,Zentralschweiz
131,Wo isch de Amtssitz vom spanische Premierminister?,Zentralschweiz
407,Wer het de Plute entdeckt?,Zentralschweiz
