378,Wer isch de ersti gsi wo de Mount Everst bestige het?,Zentralschweiz
7,Welli Flughäfe werdet vo de Air China ahgfloge?,Zentralschweiz
76,Wo isch de JFK ermordet worde?,Zentralschweiz
215,Wie höch isch de Flughafe vo Düsseldorf?,Zentralschweiz
343,Welli Stadt het die ältischti no fahrendi Ubahn?,Zentralschweiz
163,Liste alli Bandleader wo Trumpete spilled uf.,Zentralschweiz
159,Het d Neuuflag vo Battlestar Galactica meh Episode als die alt Serie?,Zentralschweiz
103,Isch de Marc Chagall Jud gsi?,Zentralschweiz
367,Welli Tochtergsellschaft vo de Lufthansa flügt Dormund und Berlin Tegel ah?,Zentralschweiz
315,Welli TV-Serie sind vo Walt Disney entiwcklet worde?,Zentralschweiz
