302,Het Che Guevara Chind gha?,Bern,Did Che Guevara have any children?

222,Isch rossrennä ä sport?,Bern,Is horse racing a sport?

176,Wenn isch dr Olof Palme erschossä wordä,Bern,When was Olof Palme shot

490,Weli Unternähme arbeite ir Luft- und Ruumfahrtindustrie und ir Medizin? ,Bern,Which companies work in the aerospace and medical industries? 

394,Wie heisst dr höchst Bärg in Australie?,Bern,What is the name of the highest mountain in Australia?

99,Weli Schriftsteller hei in Istanbul studiert?,Bern,Which writers studied in Istanbul?

108,Weli Büecher het d Danielle Steel geschribä?,Bern,What books did Danielle Steel write?

332,Het Breaking Bad meh Episode aus Game of Thrones?,Bern,Does Breaking Bad have more episodes than Game of Thrones?

248,Wie heisst de lengsti Fluss vo de Welt?,Zentralschweiz,What is the name of the longest river in the world?

254,In welem alta riich sind Kakaobohna Zahligsmittel gsi? ,Graubünden,In which old kingdom were cocoa beans a means of payment? 

17,Was für a Organisation isch im Johr 1950 gründet worda? ,Graubünden,What kind of organisation was founded in 1950? 

348,In wellem Land ligt dr Mount Everest?,Graubünden,In which country is Mount Everest?

534,Wia viel Kaloria hät as Baguette? ,Graubünden,How many calories does a baguette have? 

309,Wär isch dr Sohn vu Sonny und Cher,Graubünden,Who's Sonny and Cher's son?

32,Säg alli Schriftssteller wo dr Nobelpriis gwunna hend,Graubünden,Tell all the writers who have won the Nobel Prize

32,Säg alli Schriftssteller wo dr Nobelpriis gwunna hend?,Graubünden,Tell all the writers who have won the Nobel Prize?

420,Welli Länder händ Ortschafta mit meh als zwai höhlana? ,Graubünden,Which countries have places with more than two cave trailers? 

145,Wär isch dr manager vu Real Madrid?,Graubünden,Who is the manager of Real Madrid?

153,Welli Stadt i Dütschland isch flächamässig dia klinsti?,Graubünden,Which city in Germany is the smallest in terms of area?

285,Welli Sproch wird offiziell in Surinami gredet? ,Graubünden,What is the official language spoken in Surinami? 

477,Tuan alli Gängster us dr Zit vur Prohibition uflista,Graubünden,Lists all gangsters from the time of Prohibition

473,Tuan alli Autos wo in Dütschland produziert werden uflista,Graubünden,Do list all cars that are produced in Germany

98,Wer hed dr John Lennon tötet?,Graubünden,Who killed John Lennon?

98,Wer hed dr John Lennon tötet?,Graubünden,Who killed John Lennon?

98,Wer hed dr John Lennon tötet?,Graubünden,Who killed John Lennon?

115,Wiaviel Fluuglinia ghören zur SkyTeam-Allianz,Graubünden,Many airlines are part of the SkyTeam alliance

115,Wiaviel Fluuglinia ghören zur SkyTeam-Allianz,Graubünden,Many airlines are part of the SkyTeam alliance

39,Tuan alli Schwimmer uflista wo in Moskau gebora worda sin,Graubünden,List all swimmers who were born in Moscow

39,Tuan alli Schwimmer uflista wo in Moskau gebora worda sin,Graubünden,List all swimmers who were born in Moscow

173,Tuan alli Berga uflista wo grösser als dr Nanga Parbat sin,Graubünden,List all mountains larger than Nanga Parbat

65,Wer isch dr Gouverneur vu Wyoming,Graubünden,Who is the Governor of Wyoming

468,Wiaviel Umsatz macht IBM,Graubünden,How much revenue does IBM make?

486,Wem ghört Aldi?,Graubünden,Who owns Aldi?

219,Wer hät Forbes usebracht?,Zürich,Who put Forbes out?

220,Welle Pris hät Douglas Hofstadter gunne?,Zürich,Which prize did Douglas Hofstadter win?

221,Wer isch de jüngsti Dart-Spieler?,Zürich,Who's the youngest darts player?

223,Über welle Fluss füehrt dBrooklyn Bridge?,Zürich,Which river does the Brooklyn Bridge cross?

224,Wie viel Mensche lebed in Pole?,Zürich,How many people live in Poland?

225,Wänn isch die letzti Folg vo Friends usgstrahlt worde?,Zürich,When was the last episode of Friends aired?

226,Heisst dEhefrau vom Präsident Obama Michelle?,Zürich,Is President Obama's wife Michelle?

